featureid	Description	Intercept	up_in_il
k99_5577388_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__Lachnospiraceae bacterium 5_1_57FAA	0.718807232	-0.081002338
k99_5288404_4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus eutactus	0.192841303	-0.081399662
k99_457991_4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Mediterranea; s__Mediterranea massiliensis	0.696797621	-0.081636591
G000431535	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:678	-0.797934997	-0.082013531
k99_7315754_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.472260726	-0.082281632
G000797495	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella;s__Robinsoniella peoriensis	-1.457015026	-0.082359655
k99_2626515_1	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; s__Firmicutes bacterium CAG:646	0.304266226	-0.082727535
G000364325	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	-4.70572232	-0.08419673
k99_6326240_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.169993651	-0.084201617
k99_532141_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.136686814	-0.084212108
k99_7020718_2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__Parabacteroides sp. D13	0.809623015	-0.084274543
G000437015	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp. CAG:390	-0.595983493	-0.084621204
k99_1595565_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia sp. CAG:257	0.129845631	-0.084685726
G000478985	k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus sp. BV3C26	-2.728919494	-0.084864451
k99_2833023_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.082442272	-0.08520834
k99_10200603_2	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; s__Firmicutes bacterium CAG:24053_14	0.298806441	-0.085488273
ASV_Feature_84	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	3.761130121	-0.085524214
k99_6997289_9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans	0.251929534	-0.085730923
k99_6196283_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides caccae	0.816100609	-0.085764391
MTB_feature_926	#N/A	0.835402501	-0.086968345
k99_3270805_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.014911401	-0.08735509
k99_9772359_1	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Candidatus Stoquefichus; s__Candidatus Stoquefichus sp. SB1	0.318189633	-0.087451471
G900048895	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Neglecta;s__Neglecta timonensis	2.093633425	-0.087555302
k99_1802944_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__Roseburia inulinivorans	-0.242759693	-0.088450177
G000703165	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp. AE3004	-2.911507595	-0.088529689
G001709315	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Pantoea agglomerans	-2.349253642	-0.089607758
ASV_Feature_713	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	1.980710876	-0.089860363
k99_2372645_2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__Parabacteroides merdae	0.473532212	-0.089977277
k99_7670708_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia sp. Marseille-P3087	0.0746081	-0.090399606
k99_4213240_1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__Bifidobacterium dentium	0.073728573	-0.090550793
MTB_feature_666	"Monohydroxy bile acids, alcohols and derivatives"	1.722845686	-0.090599222
k99_4257586_2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides eggerthii CAG:109	0.812451375	-0.090665026
ASV_Feature_10	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	3.235959661	-0.090724183
k99_10168529_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; s__Eubacterium sp. CAG:274	0.866255057	-0.090828581
k99_386692_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__Clostridiales bacterium VE202-27	0.601008189	-0.091548754
k99_1513330_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.030735958	-0.091606481
k99_4509702_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Oscillospiraceae; g__Oscillibacter; s__Oscillibacter sp. CAG:155	0.191658509	-0.091874314
P11055	Human	0.209263575	-0.092047943
k99_1159444_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__uncultured Ruminococcus sp.	0.405173075	-0.092090351
k99_3696928_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Tyzzerella; s__Tyzzerella sp. Marseille-P3062	0.233825219	-0.092129482
MTB_feature_850	#N/A	3.380807576	-0.092198504
k99_796122_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.269114983	-0.092210455
G000769115	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas canoris	-4.961880195	-0.092330707
G001299455	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__Clostridiales bacterium SIT11	-3.642825592	-0.092339946
k99_3104977_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.158059347	-0.092519147
k99_2500028_3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.253818524	-0.092580063
k99_7699116_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Subdoligranulum; s__Subdoligranulum sp. 60_17	0.376954806	-0.092704309
k99_1051013_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.416071189	-0.092787368
k99_8938539_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.279641378	-0.092949046
k99_7300861_5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus lactaris	0.404079688	-0.093236668
k99_3353324_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Sellimonas; s__Sellimonas intestinalis	0.146534693	-0.093354208
G000703065	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__Lachnospiraceae bacterium AC2029	-2.416345584	-0.093445433
k99_2457008_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia sp. SF-50	0.239254248	-0.093473179
k99_1275487_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__uncultured Ruminococcus sp.	0.076213133	-0.093506439
k99_260477_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides stercoris	0.297229779	-0.093649996
k99_4212807_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium sp. CAG:299	0.064564002	-0.094023598
k99_1471064_4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans	-0.133369672	-0.094026161
k99_5818679_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia wexlerae	0.188197386	-0.094472958
k99_2007122_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides eggerthii	0.741537821	-0.094501657
MTB_feature_524	Dipeptides	2.155320537	-0.09450577
k99_8576407_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus sp. CAG:177	0.092243207	-0.095238371
G000968335	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	-2.970364082	-0.095276637
k99_2867290_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__[Ruminococcus] torques	0.060111535	-0.095373673
k99_1717833_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__uncultured Blautia sp.	0.505703938	-0.096406562
k99_5872359_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides eggerthii CAG:109	0.688581002	-0.096847696
k99_5394310_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__Flavonifractor; s__Flavonifractor plautii	0.267145169	-0.098182572
k99_671445_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.201446784	-0.098322643
k99_2544424_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides vulgatus	0.770943892	-0.098746581
MTB_feature_1416	unclassified	1.630611312	-0.099470837
MTB_feature_96	#N/A	0.932051432	-0.099583341
k99_1493110_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.187191474	-0.099604202
k99_226288_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Subdoligranulum; s__Subdoligranulum sp. 60_17	0.106779587	-0.099816365
k99_7524809_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia wexlerae	0.321813834	-0.100006951
k99_10009435_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__[Ruminococcus] torques	0.36086036	-0.100152744
k99_3595118_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__Dorea sp. AGR2135	0.193933737	-0.100245668
k99_3862323_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus lactaris	0.148964179	-0.100303842
G900104155	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp. INlla16	-3.745143878	-0.100438995
k99_204627_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__uncultured Clostridium sp.	-0.082043397	-0.100541694
k99_5511985_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides sp. Marseille-P3208T	0.658554566	-0.100600613
Q13228	Human	0.516642106	-0.101077808
G001192835	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__Lentimicrobium saccharophilum	-4.869705665	-0.101374609
k99_5928874_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides clarus	0.81015445	-0.101840896
k99_2411927_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus catus	0.668688071	-0.102008296
k99_2784636_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__uncultured Clostridium sp.	0.217697156	-0.102348043
k99_4060462_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__[Ruminococcus] torques	0.268636954	-0.102387262
k99_5978056_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__uncultured Blautia sp.	0.409514916	-0.102451933
k99_8935699_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__Roseburia sp. CAG:10041_57	0.290979636	-0.102623803
G900110565	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Denitrobacterium;s__Denitrobacterium detoxificans	-3.869966018	-0.10285492
k99_8294766_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans	-0.016691673	-0.103462798
k99_222770_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	0.0337062	-0.104267282
k99_604194_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia sp. CAG:257	0.101560366	-0.104300631
k99_6724990_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__uncultured Blautia sp.	-0.014649379	-0.104649736
k99_5483243_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides sp. Marseille-P3166	0.574812186	-0.105018927
k99_704225_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	0.163398993	-0.105167909
k99_8465696_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides plebeius CAG:211	0.425668728	-0.105207605
k99_7050161_3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium sp. CAG:127	0.065936339	-0.105594231
k99_500977_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium sp. CAG:58	0.117033017	-0.105659408
MTB_feature_577	#N/A	3.430388075	-0.105905874
G000296385	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum sp. OBRC5-5	0.717641842	-0.106000675
G000238095	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptoanaerobacter;s__Peptoanaerobacter stomatis	-4.315278041	-0.10622902
k99_3953104_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.260201466	-0.106633825
k99_4079976_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__Roseburia sp. CAG:471	-0.323712575	-0.106700195
k99_3559169_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	0.069342387	-0.106719626
k99_3820613_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium sp. CAG:62_40_43	0.306451094	-0.107383622
k99_902320_2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides caccae	0.619059336	-0.107849223
k99_3863046_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus comes	0.200208914	-0.107927306
G000271425	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter venetianus	-1.51837014	-0.107937021
MTB_feature_778	unclassified	1.860765112	-0.10794772
k99_3924902_1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides stercoris	0.231398833	-0.108299686
k99_2904636_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; s__uncultured Eubacterium sp.	0.120265019	-0.108322008
k99_2927182_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium prausnitzii	0.192101729	-0.108641816
k99_12789_3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus lactaris	0.162297738	-0.108703447
MTB_feature_1354	unclassified	0.569759858	-0.108750595
k99_8054477_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira pectinoschiza	-0.289389837	-0.109264923
k99_4998255_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.176134837	-0.109284563
k99_1789373_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus sp. JC304	0.056154025	-0.10975532
G001422605	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia sp. Leaf53	-2.798399436	-0.109903349
k99_1182785_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__Lachnospiraceae bacterium CAG:364	0.295214188	-0.11011867
MTB_feature_884	unclassified	1.195909751	-0.110408558
MTB_feature_139	Proline and derivatives	3.029357505	-0.110580845
k99_8801200_3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus lactaris	0.261978877	-0.110867841
k99_1797468_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.22577287	-0.11093132
ASV_Feature_318	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__	2.264963162	-0.111356897
k99_5102214_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia sp. CAG:257	0.361224425	-0.111776693
G000027305	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	-2.789228427	-0.112050993
k99_2312650_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__Dorea longicatena	0.114367735	-0.112371845
G001604445	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__;g__;s__Synergistales bacterium Syner_02	-0.027484167	-0.112396819
k99_3574966_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__Clostridiales bacterium Firm_04	0.247789156	-0.112413598
k99_1918945_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__Clostridiales bacterium VE202-27	0.133089554	-0.112554593
k99_4147434_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia sp. Marseille-P2398	0.180036318	-0.112861438
G001312505	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus faecis	3.563150434	-0.113158656
G000159075	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. D2	4.470365596	-0.113758637
k99_2301457_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__Clostridiales bacterium VE202-27	0.528414261	-0.113858206
G001915495	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	1.370321763	-0.113900198
G000751555	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Anaerosalibacter;s__Anaerosalibacter massiliensis	-3.351057517	-0.114176793
k99_1961854_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia sp. CAG:52	0.178136838	-0.114478839
G000436435	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus CAG:22	4.697010052	-0.114922298
k99_1933056_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.062044132	-0.115128977
k99_8730560_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium sp. BR31	0.349647296	-0.115273012
k99_9146137_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia schinkii	0.172147763	-0.115291072
k99_2717702_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__uncultured Blautia sp.	0.402245295	-0.115732593
k99_1543736_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	-0.005995023	-0.115748269
k99_3415665_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.395820868	-0.116127117
k99_2408571_6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; s__[Eubacterium] hallii	0.243347418	-0.116196884
k99_175720_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.182019961	-0.116788341
G001405375	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	2.912479651	-0.116884066
k99_8001096_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia obeum	0.076554787	-0.1169392
k99_928550_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Tyzzerella; s__Tyzzerella sp. Marseille-P3062	0.073777211	-0.11700253
k99_7275063_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus sp. UNK.MGS-30	-0.265345561	-0.117224051
k99_2044431_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus	0.273018134	-0.117460621
k99_2466193_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia massiliensis	0.211711657	-0.117649658
MTB_feature_169	Xanthines	1.186433566	-0.117999
k99_7744916_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium perfringens	0.019230616	-0.118074698
P04075	Human	-0.020451057	-0.118482543
k99_2185654_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__Roseburia faecis	0.185594809	-0.119020266
k99_4194273_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__Blautia wexlerae	0.128452075	-0.119130535
k99_4762967_21	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uncultured Bacteroides sp.	0.449149382	-0.119324846
k99_10121904_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; s__Eubacterium sp. 36_13	0.200052989	-0.119433684
k99_709855_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans	-0.193534839	-0.119511379
k99_5028867_1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Marvinbryantia; s__Marvinbryantia formatexigens	0.689674866	-0.120035572
k99_3396698_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__uncultured Blautia sp.	0.17735244	-0.120078219
k99_6760137_2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__uncultured Clostridium sp.	0.288597119	-0.120212866
G000735345	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Ewingella;s__Ewingella americana	-3.473876464	-0.120274467
k99_664843_5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__uncultured Clostridium sp.	-0.053035009	-0.120918555
